WijkenEnBu,BU_CODE,cbs_l1_totalpo,cbs_l2_childre,cbs_l3_student,cbs_l4_mobile_,cbs_l5_not_mob,cbs_l6_elderly,cbs_l10_wester,cbs_l10_nonwes,cbs_l10_mar,cbs_l10_ant,cbs_l10_sur,cbs_l10_tur,ois_totalpop,ois_Children,ois_Students,ois_MobileAdul,ois_NotMobileA,ois_Elderly,ois_l10_sur,ois_l10_ant,ois_l10_mar,ois_l10_tur,ois_l10_wester,ois_l10_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobile_adults,ois_gc1_2018_mobile_adults,ois_gc_2018_not_mobile_adults,ois_gc1_2018_not_mobile_adults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,BuurtID,Buurtcode,Oppervlakt,Stadsdeelc,Wijkcode,ois_gc1_2018_tur
Buyskade e.o.,BU03631405,3090.0,395.0,295.0,1285.0,845.0,285.0,680.0,690.0,200.0,30.0,120.0,60.0,3088.0,536.0,474.0,953.0,841.0,284.0,119.0,31.0,199.0,58.0,282.0,677.0,527.0,722.0,274.0,366.0,103.0,133.0,1021.0,1451.0,844.0,1212.0,493.0,747.0,3159.0,4498.0,17.0,85,03630000000555,E14f,130460.0,E,E14,25.0
Staatsliedenbuurt Noordoost,BU03631402,1205.0,110.0,100.0,360.0,365.0,285.0,220.0,420.0,110.0,10.0,95.0,35.0,1208.0,150.0,166.0,244.0,364.0,284.0,95.0,10.0,108.0,33.0,175.0,216.0,160.0,382.0,225.0,428.0,50.0,119.0,267.0,701.0,348.0,758.0,171.0,428.0,1171.0,2697.0,22.0,82,03630000000552,E14c,68171.0,E,E14,37.0
Ecowijk,BU03631500,1345.0,200.0,220.0,300.0,525.0,115.0,250.0,320.0,105.0,15.0,55.0,20.0,1347.0,301.0,190.0,221.0,523.0,112.0,52.0,13.0,104.0,19.0,133.0,247.0,199.0,428.0,77.0,150.0,30.0,85.0,211.0,540.0,386.0,743.0,199.0,374.0,1072.0,2235.0,7.0,86,03630000000556,E15a,65842.0,E,E15,11.0
Fannius Scholtenbuurt,BU03631403,3720.0,430.0,320.0,1730.0,995.0,255.0,925.0,990.0,250.0,30.0,200.0,115.0,3724.0,551.0,650.0,1275.0,993.0,255.0,198.0,31.0,246.0,112.0,406.0,917.0,548.0,781.0,304.0,490.0,116.0,167.0,1236.0,1781.0,979.0,1497.0,638.0,923.0,3705.0,5472.0,14.0,83,03630000000553,E14d,111015.0,E,E14,52.0
Alexanderplein e.o.,BU03630804,405.0,55.0,45.0,185.0,95.0,40.0,105.0,55.0,0.0,5.0,5.0,10.0,407.0,63.0,90.0,125.0,93.0,36.0,4.0,4.0,0.0,7.0,39.0,105.0,63.0,120.0,28.0,88.0,1.0,2.0,116.0,203.0,72.0,211.0,114.0,174.0,393.0,796.0,,59,03630023753969,A08e,48609.0,A,A08,7.0
Frederik Hendrikbuurt Zuidoost,BU03631601,3250.0,295.0,230.0,1665.0,765.0,305.0,750.0,795.0,190.0,40.0,105.0,70.0,3252.0,364.0,698.0,1124.0,761.0,305.0,104.0,38.0,191.0,71.0,393.0,746.0,365.0,582.0,305.0,518.0,107.0,163.0,1076.0,1604.0,744.0,1209.0,713.0,1047.0,3203.0,4960.0,11.0,92,03630000000561,E16b,124677.0,E,E16,18.0
Marcanti,BU03631503,1050.0,100.0,110.0,435.0,265.0,145.0,220.0,330.0,105.0,10.0,55.0,35.0,1052.0,130.0,220.0,294.0,265.0,143.0,53.0,10.0,102.0,32.0,133.0,219.0,121.0,228.0,146.0,291.0,53.0,81.0,264.0,501.0,269.0,502.0,203.0,348.0,1003.0,1870.0,2.0,90,03630000000559,E15d,71831.0,E,E15,4.0
Frederik Hendrikbuurt Noord,BU03631600,3845.0,420.0,335.0,1765.0,910.0,420.0,960.0,755.0,215.0,35.0,80.0,65.0,3848.0,522.0,810.0,1186.0,910.0,420.0,80.0,36.0,213.0,62.0,370.0,957.0,592.0,796.0,446.0,691.0,114.0,158.0,1307.0,1898.0,1035.0,1655.0,898.0,1315.0,4278.0,6355.0,7.0,91,03630000000560,E16a,212377.0,E,E16,24.0
Frederik Hendrikbuurt Zuidwest,BU03631602,1210.0,110.0,105.0,335.0,405.0,270.0,235.0,245.0,95.0,5.0,40.0,20.0,1214.0,149.0,149.0,245.0,404.0,267.0,38.0,6.0,94.0,19.0,88.0,234.0,114.0,418.0,265.0,514.0,48.0,135.0,249.0,1222.0,360.0,993.0,125.0,712.0,1113.0,3859.0,2.0,93,03630000000562,E16c,84194.0,E,E16,20.0
Da Costabuurt Noord,BU03631700,4640.0,465.0,400.0,2085.0,1125.0,575.0,1215.0,745.0,135.0,50.0,135.0,70.0,4643.0,577.0,958.0,1412.0,1121.0,575.0,133.0,46.0,133.0,69.0,369.0,1202.0,613.0,862.0,591.0,868.0,80.0,118.0,1473.0,2319.0,1173.0,1570.0,1001.0,1578.0,4851.0,7197.0,9.0,94,03630000000862,E17a,258511.0,E,E17,35.0
Bellamybuurt Noord,BU03631800,2725.0,300.0,240.0,1240.0,705.0,255.0,530.0,705.0,215.0,30.0,125.0,90.0,2729.0,358.0,578.0,836.0,706.0,251.0,125.0,29.0,212.0,88.0,250.0,523.0,353.0,637.0,253.0,413.0,119.0,167.0,797.0,1496.0,704.0,1121.0,558.0,1021.0,2665.0,4688.0,25.0,95,03630000000563,E18a,110045.0,E,E18,36.0
Lootsbuurt,BU03631902,1895.0,190.0,150.0,905.0,485.0,175.0,430.0,525.0,135.0,20.0,90.0,60.0,1899.0,232.0,370.0,639.0,484.0,174.0,89.0,20.0,136.0,58.0,223.0,429.0,237.0,503.0,152.0,345.0,71.0,134.0,603.0,1411.0,459.0,982.0,334.0,816.0,1785.0,4057.0,9.0,99,03630000000567,E19c,74400.0,E,E19,58.0
Markthallen,BU03631501,10.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,157.0,8.0,54.0,,8.0,40.0,330.0,16.0,197.0,18.0,192.0,112.0,930.0,2.0,87,03630000000557,E15b,283073.0,E,E15,20.0
Bedrijvencentrum Westerkwartier,BU03631502,70.0,15.0,10.0,20.0,30.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,71.0,16.0,6.0,14.0,30.0,5.0,0.0,0.0,0.0,0.0,5.0,9.0,115.0,153.0,50.0,57.0,28.0,29.0,96.0,147.0,170.0,226.0,55.0,86.0,486.0,669.0,,427,03630000000558,E15c,151780.0,E,E15,7.0
Bellamybuurt Zuid,BU03631801,3795.0,415.0,380.0,1980.0,755.0,280.0,945.0,840.0,190.0,40.0,135.0,110.0,3799.0,502.0,956.0,1308.0,755.0,278.0,136.0,39.0,189.0,109.0,371.0,937.0,507.0,880.0,290.0,630.0,104.0,267.0,1259.0,2218.0,768.0,1508.0,840.0,1587.0,3664.0,6823.0,21.0,96,03630000000564,E18b,163807.0,E,E18,62.0
Da Costabuurt Zuid,BU03631900,2250.0,210.0,225.0,1205.0,445.0,175.0,630.0,420.0,70.0,20.0,70.0,35.0,2254.0,254.0,605.0,777.0,443.0,175.0,67.0,20.0,67.0,36.0,234.0,625.0,234.0,478.0,164.0,506.0,33.0,81.0,771.0,1253.0,410.0,857.0,623.0,1079.0,2202.0,4173.0,7.0,97,03630000000565,E19a,88421.0,E,E19,10.0
Cremerbuurt Oost,BU03632002,2305.0,280.0,210.0,1110.0,550.0,160.0,635.0,310.0,25.0,25.0,45.0,20.0,2305.0,356.0,495.0,748.0,548.0,158.0,41.0,25.0,22.0,19.0,201.0,629.0,350.0,560.0,164.0,325.0,17.0,37.0,700.0,1197.0,543.0,952.0,415.0,768.0,2172.0,3802.0,3.0,102,03630000000570,E20c,68945.0,E,E20,27.0
Borgerbuurt,BU03631901,2875.0,285.0,275.0,870.0,830.0,625.0,480.0,1235.0,410.0,25.0,255.0,155.0,2877.0,393.0,439.0,591.0,830.0,624.0,255.0,26.0,409.0,156.0,390.0,476.0,400.0,775.0,626.0,877.0,217.0,321.0,759.0,1492.0,865.0,1441.0,602.0,1160.0,3252.0,5745.0,21.0,98,03630000000566,E19b,124854.0,E,E19,40.0
Cremerbuurt West,BU03632100,5710.0,605.0,495.0,2980.0,1225.0,420.0,1605.0,835.0,120.0,45.0,105.0,95.0,5712.0,751.0,1328.0,1994.0,1223.0,416.0,103.0,45.0,119.0,92.0,486.0,1591.0,743.0,1096.0,410.0,663.0,66.0,86.0,1953.0,2843.0,1196.0,1776.0,1327.0,1962.0,5629.0,8340.0,21.0,103,03630000000571,E21a,205992.0,E,E21,36.0
Helmersbuurt Oost,BU03632000,2635.0,350.0,295.0,1185.0,565.0,255.0,745.0,300.0,20.0,25.0,40.0,20.0,2639.0,442.0,607.0,774.0,562.0,254.0,39.0,23.0,21.0,21.0,197.0,738.0,422.0,598.0,254.0,472.0,8.0,18.0,741.0,1119.0,543.0,826.0,579.0,863.0,2539.0,3878.0,1.0,100,03630000000568,E20a,112521.0,E,E20,9.0
WG-terrein,BU03632001,2515.0,250.0,235.0,835.0,780.0,430.0,610.0,415.0,60.0,30.0,100.0,40.0,2517.0,341.0,423.0,547.0,779.0,427.0,98.0,27.0,60.0,40.0,192.0,608.0,382.0,846.0,441.0,875.0,32.0,84.0,560.0,1327.0,813.0,1577.0,419.0,950.0,2615.0,5575.0,2.0,101,03630000000569,E20b,167819.0,E,E20,19.0
Vondelparkbuurt West,BU03632101,2205.0,250.0,265.0,925.0,490.0,285.0,555.0,280.0,15.0,15.0,65.0,20.0,2205.0,325.0,477.0,634.0,486.0,283.0,63.0,17.0,13.0,18.0,172.0,550.0,277.0,547.0,248.0,441.0,4.0,23.0,509.0,1137.0,420.0,844.0,420.0,922.0,1874.0,3891.0,2.0,110,03630000000572,E21b,102613.0,E,E21,11.0
Zuidas Noord,BU03632300,480.0,50.0,20.0,340.0,65.0,15.0,125.0,170.0,5.0,5.0,5.0,10.0,480.0,55.0,144.0,203.0,65.0,13.0,2.0,4.0,2.0,11.0,149.0,125.0,55.0,165.0,13.0,120.0,1.0,2.0,203.0,334.0,65.0,185.0,144.0,257.0,480.0,1061.0,1.0,56,03630023753995,K23a,826131.0,K,K23,18.0
Vondelparkbuurt Midden,BU03632201,900.0,120.0,95.0,235.0,255.0,205.0,220.0,150.0,35.0,15.0,25.0,10.0,903.0,163.0,113.0,168.0,255.0,204.0,26.0,12.0,33.0,9.0,67.0,218.0,172.0,373.0,204.0,361.0,13.0,27.0,221.0,632.0,273.0,633.0,172.0,481.0,1042.0,2480.0,,111,03630000000574,E22b,91081.0,E,E22,10.0
VU-kwartier,BU03632302,160.0,15.0,15.0,110.0,20.0,10.0,45.0,85.0,0.0,0.0,0.0,5.0,163.0,14.0,62.0,59.0,18.0,10.0,1.0,0.0,0.0,4.0,78.0,44.0,14.0,59.0,25.0,210.0,,5.0,59.0,120.0,15.0,110.0,62.0,112.0,175.0,611.0,,208,03630023753998,K23c,463286.0,K,K23,7.0
Zuidas Zuid,BU03632303,2240.0,270.0,145.0,1390.0,345.0,95.0,655.0,890.0,50.0,20.0,60.0,55.0,2246.0,311.0,618.0,877.0,345.0,95.0,59.0,18.0,47.0,55.0,720.0,645.0,311.0,349.0,95.0,264.0,10.0,11.0,877.0,1028.0,345.0,400.0,618.0,909.0,2246.0,2950.0,8.0,209,03630023753997,K23d,216762.0,K,K23,8.0
Vondelparkbuurt Oost,BU03632200,935.0,115.0,115.0,330.0,250.0,135.0,315.0,135.0,10.0,5.0,20.0,10.0,940.0,163.0,180.0,219.0,247.0,131.0,21.0,6.0,8.0,8.0,99.0,315.0,163.0,251.0,134.0,212.0,6.0,11.0,240.0,441.0,249.0,415.0,195.0,376.0,981.0,1695.0,,430,03630000000573,E22a,130129.0,E,E22,2.0
Vivaldi,BU03632304,960.0,40.0,440.0,440.0,45.0,5.0,260.0,290.0,10.0,15.0,35.0,35.0,964.0,93.0,700.0,124.0,44.0,3.0,33.0,16.0,10.0,34.0,208.0,254.0,93.0,112.0,3.0,17.0,1.0,1.0,124.0,149.0,44.0,58.0,700.0,704.0,964.0,1040.0,,210,03630023753996,K23e,289765.0,K,K23,
RAI,BU03632301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,10.0,98.0,21.0,108.0,,3.0,8.0,196.0,24.0,157.0,7.0,151.0,70.0,710.0,,207,03630023753994,K23b,370580.0,K,K23,2.0
Hemonybuurt,BU03632400,2540.0,300.0,290.0,1155.0,595.0,210.0,655.0,365.0,45.0,25.0,70.0,30.0,2539.0,353.0,655.0,728.0,594.0,209.0,69.0,26.0,43.0,27.0,205.0,643.0,366.0,445.0,307.0,385.0,15.0,25.0,753.0,998.0,603.0,783.0,696.0,932.0,2725.0,3543.0,5.0,211,03630000000783,K24a,139974.0,K,K24,13.0
Sarphatiparkbuurt,BU03632404,5030.0,380.0,630.0,2545.0,1050.0,440.0,1385.0,935.0,95.0,40.0,175.0,85.0,5037.0,498.0,1639.0,1413.0,1050.0,437.0,173.0,41.0,93.0,85.0,554.0,1373.0,509.0,869.0,486.0,814.0,62.0,148.0,1376.0,2443.0,1045.0,1859.0,1556.0,2666.0,4972.0,8651.0,22.0,215,03630000000787,K24e,227563.0,K,K24,37.0
Willibrordusbuurt,BU03632500,2615.0,190.0,285.0,1190.0,550.0,415.0,595.0,580.0,140.0,25.0,115.0,50.0,2616.0,245.0,669.0,742.0,549.0,411.0,115.0,26.0,139.0,47.0,253.0,591.0,251.0,448.0,326.0,565.0,79.0,111.0,770.0,1237.0,604.0,950.0,695.0,1078.0,2646.0,4278.0,9.0,216,03630000000788,K25a,124001.0,K,K25,13.0
Van der Helstpleinbuurt,BU03632501,3805.0,385.0,355.0,1900.0,825.0,350.0,1015.0,750.0,110.0,30.0,160.0,80.0,3806.0,471.0,929.0,1235.0,822.0,349.0,157.0,28.0,111.0,82.0,376.0,1011.0,436.0,759.0,327.0,602.0,61.0,134.0,1218.0,1980.0,794.0,1382.0,949.0,1572.0,3724.0,6295.0,13.0,217,03630000000789,K25b,136255.0,K,K25,30.0
Lizzy Ansinghbuurt,BU03632502,2435.0,245.0,250.0,1030.0,580.0,335.0,580.0,640.0,165.0,25.0,135.0,50.0,2434.0,326.0,503.0,692.0,579.0,334.0,135.0,27.0,166.0,48.0,263.0,577.0,450.0,507.0,415.0,479.0,106.0,125.0,943.0,994.0,756.0,857.0,763.0,827.0,3327.0,3664.0,14.0,218,03630000000790,K25c,127524.0,K,K25,39.0
Gerard Doubuurt,BU03632401,1995.0,180.0,235.0,930.0,450.0,210.0,560.0,465.0,100.0,20.0,60.0,40.0,2003.0,237.0,517.0,591.0,451.0,207.0,61.0,22.0,98.0,39.0,250.0,560.0,245.0,415.0,189.0,413.0,39.0,68.0,630.0,1157.0,486.0,885.0,573.0,1198.0,2123.0,4068.0,8.0,212,03630000000784,K24b,106413.0,K,K24,33.0
Burgemeester Tellegenbuurt Oost,BU03632601,2805.0,285.0,310.0,1005.0,775.0,440.0,540.0,925.0,275.0,30.0,200.0,120.0,2806.0,375.0,567.0,650.0,775.0,439.0,198.0,30.0,275.0,118.0,303.0,538.0,350.0,700.0,411.0,786.0,149.0,223.0,592.0,1444.0,705.0,1401.0,524.0,1163.0,2582.0,5494.0,24.0,189,03630000000793,K26b,121435.0,K,K26,41.0
Burgemeester Tellegenbuurt West,BU03632602,2250.0,265.0,190.0,775.0,640.0,395.0,425.0,760.0,190.0,20.0,170.0,100.0,2255.0,336.0,344.0,541.0,641.0,393.0,170.0,18.0,188.0,97.0,287.0,426.0,314.0,473.0,394.0,518.0,113.0,137.0,489.0,854.0,618.0,897.0,291.0,536.0,2106.0,3278.0,5.0,197,03630000000794,K26c,102270.0,K,K26,23.0
Swammerdambuurt,BU03632700,2005.0,235.0,220.0,985.0,420.0,155.0,490.0,260.0,35.0,15.0,50.0,15.0,2006.0,292.0,524.0,616.0,419.0,155.0,47.0,15.0,35.0,16.0,147.0,489.0,300.0,374.0,176.0,265.0,19.0,40.0,614.0,855.0,456.0,598.0,514.0,801.0,2060.0,2893.0,13.0,254,03630000000745,M27a,141028.0,M,M27,18.0
Weesperzijde Midden/Zuid,BU03632701,3300.0,405.0,280.0,1540.0,730.0,355.0,725.0,635.0,145.0,25.0,120.0,55.0,3304.0,495.0,728.0,998.0,731.0,352.0,120.0,25.0,142.0,56.0,299.0,717.0,497.0,634.0,336.0,457.0,54.0,93.0,985.0,1315.0,702.0,952.0,721.0,1015.0,3241.0,4373.0,10.0,255,03630000000746,M27b,236437.0,M,M27,37.0
Parooldriehoek,BU03632702,520.0,40.0,290.0,145.0,50.0,10.0,210.0,230.0,60.0,5.0,20.0,25.0,545.0,220.0,195.0,77.0,46.0,7.0,18.0,5.0,57.0,26.0,143.0,212.0,251.0,562.0,17.0,205.0,38.0,127.0,138.0,714.0,79.0,596.0,222.0,613.0,707.0,2690.0,18.0,246,03630000000747,M27c,69347.0,M,M27,47.0
Frans Halsbuurt,BU03632402,2600.0,235.0,270.0,1310.0,570.0,230.0,780.0,460.0,50.0,25.0,55.0,35.0,2600.0,292.0,661.0,850.0,570.0,227.0,55.0,24.0,50.0,35.0,297.0,775.0,268.0,426.0,204.0,358.0,19.0,34.0,795.0,1243.0,523.0,814.0,609.0,1094.0,2399.0,3935.0,7.0,213,03630000000785,K24c,121394.0,K,K24,13.0
Cornelis Troostbuurt,BU03632503,3515.0,345.0,360.0,1665.0,740.0,420.0,855.0,695.0,150.0,30.0,125.0,75.0,3517.0,410.0,857.0,1094.0,739.0,417.0,124.0,28.0,151.0,76.0,323.0,847.0,374.0,672.0,386.0,807.0,82.0,133.0,1002.0,1614.0,675.0,1156.0,734.0,1286.0,3171.0,5535.0,11.0,187,03630000000791,K25d,156469.0,K,K25,25.0
Hercules Seghersbuurt,BU03632403,2585.0,190.0,315.0,1330.0,535.0,230.0,660.0,620.0,105.0,30.0,105.0,80.0,2588.0,250.0,782.0,800.0,530.0,226.0,102.0,28.0,105.0,77.0,304.0,658.0,269.0,383.0,240.0,330.0,55.0,75.0,855.0,1265.0,556.0,813.0,813.0,1261.0,2733.0,4052.0,1.0,214,03630000000786,K24d,84523.0,K,K24,16.0
Oosterparkbuurt Zuidoost,BU03632802,3775.0,515.0,385.0,1485.0,955.0,445.0,780.0,1065.0,330.0,25.0,220.0,125.0,3779.0,650.0,682.0,1050.0,953.0,444.0,220.0,26.0,330.0,123.0,367.0,776.0,627.0,934.0,429.0,613.0,164.0,286.0,1041.0,1492.0,948.0,1325.0,666.0,1032.0,3711.0,5396.0,12.0,256,03630000000750,M28c,157617.0,M,M28,76.0
Oosterparkbuurt Zuidwest,BU03632803,3090.0,415.0,310.0,1240.0,795.0,340.0,475.0,1435.0,425.0,35.0,325.0,225.0,3091.0,526.0,525.0,907.0,794.0,339.0,324.0,33.0,423.0,222.0,432.0,472.0,529.0,754.0,316.0,540.0,203.0,326.0,896.0,1350.0,779.0,1164.0,522.0,976.0,3042.0,4784.0,17.0,257,03630000000751,M28d,121919.0,M,M28,63.0
Diamantbuurt,BU03632600,3140.0,385.0,375.0,1055.0,855.0,480.0,600.0,1145.0,350.0,40.0,220.0,105.0,3144.0,539.0,555.0,720.0,851.0,479.0,219.0,41.0,348.0,106.0,433.0,595.0,528.0,700.0,470.0,615.0,190.0,226.0,698.0,1051.0,831.0,1144.0,521.0,959.0,3048.0,4469.0,6.0,188,03630000000792,K26a,167176.0,K,K26,24.0
Dapperbuurt Zuid,BU03632901,3815.0,410.0,485.0,1530.0,970.0,430.0,620.0,1475.0,480.0,40.0,295.0,235.0,3819.0,579.0,891.0,952.0,969.0,428.0,295.0,40.0,481.0,237.0,424.0,617.0,565.0,748.0,424.0,570.0,257.0,358.0,941.0,1355.0,946.0,1238.0,840.0,1289.0,3716.0,5200.0,37.0,259,03630000000753,M29b,174040.0,M,M29,57.0
Oostpoort,BU03632902,2025.0,325.0,240.0,705.0,470.0,295.0,340.0,595.0,140.0,25.0,160.0,70.0,2026.0,403.0,317.0,546.0,467.0,293.0,161.0,22.0,138.0,67.0,210.0,338.0,445.0,880.0,322.0,652.0,79.0,260.0,622.0,1275.0,527.0,1159.0,390.0,884.0,2306.0,4850.0,11.0,138,03630000000754,M29c,228667.0,M,M29,101.0
Dapperbuurt Noord,BU03632900,4340.0,485.0,490.0,1730.0,1010.0,640.0,750.0,1700.0,505.0,50.0,345.0,315.0,4344.0,649.0,939.0,1110.0,1010.0,636.0,341.0,49.0,501.0,312.0,498.0,743.0,698.0,932.0,640.0,845.0,300.0,406.0,1123.0,1573.0,1071.0,1467.0,1015.0,1434.0,4547.0,6251.0,36.0,258,03630000000752,M29a,211178.0,M,M29,52.0
Transvaalbuurt West,BU03633000,4150.0,500.0,565.0,1580.0,1035.0,485.0,615.0,1835.0,665.0,35.0,375.0,285.0,4154.0,696.0,877.0,1065.0,1034.0,482.0,373.0,34.0,667.0,284.0,483.0,609.0,645.0,1134.0,468.0,653.0,337.0,543.0,993.0,1574.0,975.0,1435.0,838.0,1479.0,3919.0,6275.0,30.0,260,03630000000755,M30a,179095.0,M,M30,92.0
Transvaalbuurt Oost,BU03633001,5100.0,770.0,645.0,2025.0,1160.0,505.0,760.0,2245.0,865.0,70.0,385.0,355.0,5106.0,992.0,1127.0,1320.0,1162.0,505.0,384.0,68.0,863.0,354.0,582.0,751.0,994.0,1254.0,486.0,662.0,413.0,480.0,1293.0,1829.0,1145.0,1542.0,1085.0,1490.0,5003.0,6777.0,70.0,261,03630000000756,M30b,199552.0,M,M30,81.0
Oosterparkbuurt Noordwest,BU03632800,3860.0,335.0,415.0,1780.0,890.0,450.0,760.0,1255.0,310.0,45.0,260.0,165.0,3865.0,449.0,1025.0,1052.0,890.0,449.0,260.0,46.0,311.0,163.0,479.0,752.0,430.0,613.0,412.0,655.0,150.0,226.0,1016.0,1521.0,831.0,1255.0,985.0,1475.0,3674.0,5519.0,23.0,247,03630000000748,M28a,220328.0,M,M28,45.0
Noordwestkwadrant Indische buurt Zuid,BU03633101,4650.0,565.0,650.0,2160.0,910.0,375.0,840.0,1865.0,700.0,60.0,310.0,290.0,4650.0,741.0,1182.0,1445.0,908.0,374.0,312.0,61.0,699.0,290.0,516.0,827.0,784.0,996.0,388.0,530.0,374.0,523.0,1628.0,1864.0,951.0,1162.0,1353.0,1536.0,5104.0,6088.0,23.0,263,03630000000576,M31b,145583.0,M,M31,117.0
Noordwestkwadrant Indische buurt Noord,BU03633100,3870.0,470.0,400.0,1990.0,760.0,260.0,860.0,1235.0,420.0,45.0,215.0,150.0,3871.0,583.0,893.0,1381.0,758.0,256.0,212.0,43.0,418.0,150.0,423.0,844.0,495.0,820.0,237.0,351.0,186.0,312.0,1163.0,2039.0,659.0,1071.0,662.0,1498.0,3216.0,5779.0,20.0,262,03630000000575,M31a,176071.0,M,M31,61.0
Noordoostkwadrant Indische buurt,BU03633200,5975.0,835.0,680.0,2150.0,1475.0,855.0,785.0,3110.0,1135.0,70.0,545.0,570.0,5981.0,1106.0,1040.0,1510.0,1471.0,854.0,545.0,71.0,1135.0,570.0,789.0,781.0,1141.0,1342.0,865.0,1018.0,617.0,709.0,1506.0,1919.0,1481.0,1809.0,1034.0,1434.0,6027.0,7522.0,91.0,148,03630000000577,M32a,267055.0,M,M32,105.0
Zuidoostkwadrant Indische buurt,BU03633201,3605.0,555.0,470.0,1330.0,895.0,375.0,495.0,2055.0,875.0,40.0,275.0,435.0,3610.0,764.0,649.0,931.0,894.0,372.0,274.0,39.0,876.0,434.0,435.0,489.0,757.0,1033.0,366.0,569.0,372.0,599.0,940.0,1216.0,863.0,1221.0,643.0,848.0,3569.0,4887.0,64.0,265,03630000000578,M32b,140392.0,M,M32,105.0
Zuidwestkwadrant Indische buurt,BU03633102,4100.0,615.0,540.0,1405.0,995.0,560.0,500.0,2585.0,1105.0,40.0,415.0,485.0,4105.0,865.0,688.0,1001.0,994.0,557.0,415.0,39.0,1104.0,482.0,546.0,497.0,767.0,1202.0,513.0,801.0,536.0,803.0,883.0,1508.0,921.0,1477.0,646.0,1060.0,3730.0,6048.0,58.0,264,03630000000865,M31c,159598.0,M,M31,124.0
Oostelijke Handelskade,BU03633300,1470.0,220.0,100.0,715.0,370.0,80.0,385.0,445.0,100.0,10.0,75.0,35.0,1471.0,258.0,214.0,551.0,368.0,80.0,74.0,8.0,100.0,34.0,232.0,381.0,259.0,292.0,81.0,128.0,34.0,37.0,559.0,644.0,364.0,450.0,218.0,337.0,1481.0,1851.0,10.0,268,03630000000581,M33a,357537.0,M,M33,10.0
Rietlanden,BU03633301,2495.0,365.0,260.0,905.0,730.0,245.0,480.0,705.0,150.0,20.0,180.0,95.0,2496.0,482.0,399.0,646.0,728.0,241.0,180.0,18.0,150.0,92.0,264.0,477.0,480.0,768.0,242.0,388.0,68.0,122.0,654.0,1003.0,719.0,1286.0,375.0,604.0,2470.0,4049.0,10.0,149,03630000000582,M33b,344065.0,M,M33,15.0
Java-eiland,BU03633302,3085.0,435.0,270.0,865.0,1120.0,405.0,580.0,455.0,65.0,30.0,95.0,45.0,3087.0,590.0,274.0,701.0,1118.0,404.0,96.0,27.0,62.0,45.0,225.0,578.0,591.0,596.0,408.0,410.0,21.0,21.0,701.0,703.0,1120.0,1128.0,277.0,279.0,3097.0,3116.0,6.0,269,03630000000583,M33c,713330.0,M,M33,8.0
KNSM-eiland,BU03633303,2380.0,225.0,195.0,610.0,1005.0,355.0,480.0,425.0,50.0,20.0,130.0,45.0,2380.0,322.0,238.0,463.0,1002.0,355.0,128.0,20.0,47.0,43.0,188.0,474.0,321.0,332.0,352.0,375.0,19.0,19.0,463.0,468.0,1003.0,1029.0,237.0,241.0,2376.0,2445.0,8.0,161,03630000000584,M33d,1034797.0,M,M33,8.0
Zeeburgerdijk Oost,BU03633202,450.0,65.0,45.0,125.0,165.0,60.0,70.0,120.0,40.0,10.0,30.0,20.0,450.0,91.0,46.0,95.0,162.0,56.0,28.0,7.0,38.0,18.0,28.0,70.0,87.0,124.0,52.0,269.0,21.0,30.0,66.0,135.0,136.0,252.0,31.0,70.0,372.0,850.0,5.0,266,03630000000579,M32c,126960.0,M,M32,5.0
Flevopark,BU03633203,15.0,5.0,5.0,10.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,32.0,203.0,18.0,99.0,26.0,98.0,41.0,320.0,46.0,198.0,23.0,216.0,160.0,1036.0,,267,03630000000580,M32d,760168.0,M,M32,28.0
Entrepot-Noordwest,BU03633306,1435.0,170.0,155.0,460.0,495.0,165.0,285.0,540.0,135.0,25.0,130.0,50.0,1436.0,231.0,244.0,304.0,495.0,162.0,131.0,27.0,132.0,48.0,201.0,283.0,284.0,433.0,215.0,235.0,68.0,78.0,320.0,476.0,569.0,724.0,267.0,440.0,1655.0,2308.0,8.0,272,03630000000587,M33g,127416.0,M,M33,20.0
Sporenburg,BU03633304,2740.0,515.0,395.0,645.0,1080.0,115.0,520.0,390.0,40.0,30.0,110.0,45.0,2743.0,765.0,324.0,463.0,1079.0,112.0,107.0,28.0,41.0,43.0,171.0,516.0,742.0,1000.0,107.0,236.0,17.0,43.0,441.0,656.0,1049.0,1392.0,320.0,434.0,2659.0,3718.0,10.0,270,03630000000585,M33e,364420.0,M,M33,14.0
