WijkenEnBu,BU_CODE,cbs_l1_totalpo,cbs_l2_childre,cbs_l3_student,cbs_l4_mobile_,cbs_l5_not_mob,cbs_l6_elderly,cbs_l10_wester,cbs_l10_nonwes,cbs_l10_mar,cbs_l10_ant,cbs_l10_sur,cbs_l10_tur,ois_totalpop,ois_Children,ois_Students,ois_MobileAdul,ois_NotMobileA,ois_Elderly,ois_l10_sur,ois_l10_ant,ois_l10_mar,ois_l10_tur,ois_l10_wester,ois_l10_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobile_adults,ois_gc1_2018_mobile_adults,ois_gc_2018_not_mobile_adults,ois_gc1_2018_not_mobile_adults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,BuurtID,Buurtcode,Oppervlakt,Stadsdeelc,Wijkcode,ois_gc1_2018_tur
Weesperbuurt,BU03630800,3325.0,220.0,465.0,1230.0,840.0,580.0,895.0,595.0,75.0,20.0,135.0,30.0,3327.0,350.0,763.0,795.0,841.0,578.0,136.0,21.0,74.0,27.0,341.0,889.0,350.0,512.0,588.0,798.0,48.0,50.0,815.0,1093.0,863.0,1215.0,756.0,1079.0,3372.0,4697.0,1.0,53,03630000000516,A08a,279121.0,A,A08,8.0
Den Texbuurt,BU03630705,1060.0,120.0,125.0,365.0,280.0,180.0,295.0,120.0,5.0,10.0,15.0,10.0,1064.0,171.0,189.0,248.0,278.0,178.0,14.0,10.0,6.0,7.0,85.0,291.0,150.0,354.0,160.0,333.0,3.0,15.0,233.0,629.0,257.0,583.0,170.0,454.0,970.0,2353.0,2.0,50,03630000000513,A07f,112848.0,A,A07,7.0
Spuistraat Zuid,BU03630105,730.0,55.0,110.0,350.0,165.0,65.0,280.0,110.0,5.0,5.0,10.0,5.0,731.0,75.0,225.0,208.0,161.0,62.0,7.0,5.0,5.0,6.0,89.0,279.0,75.0,134.0,49.0,168.0,2.0,5.0,172.0,397.0,135.0,363.0,153.0,404.0,584.0,1466.0,,8,03630000000088,A01f,67125.0,A,A01,4.0
Marine-Etablissement,BU03630900,80.0,15.0,5.0,30.0,35.0,10.0,10.0,15.0,0.0,0.0,0.0,0.0,84.0,13.0,7.0,24.0,31.0,9.0,0.0,0.0,0.0,0.0,15.0,10.0,39.0,155.0,35.0,182.0,1.0,11.0,40.0,151.0,55.0,237.0,69.0,261.0,238.0,986.0,,420,03630000000519,A09a,271578.0,A,A09,1.0
Czaar Peterbuurt,BU03630904,2385.0,270.0,260.0,1115.0,520.0,230.0,525.0,685.0,155.0,25.0,170.0,30.0,2387.0,353.0,521.0,765.0,520.0,228.0,169.0,26.0,153.0,27.0,318.0,517.0,332.0,610.0,228.0,343.0,80.0,130.0,701.0,1031.0,494.0,880.0,493.0,784.0,2248.0,3648.0,6.0,421,03630000000523,A09e,107699.0,A,A09,14.0
Het Funen,BU03630905,1375.0,295.0,205.0,365.0,400.0,120.0,355.0,285.0,70.0,10.0,45.0,20.0,1379.0,352.0,221.0,287.0,400.0,119.0,43.0,8.0,69.0,19.0,148.0,353.0,302.0,443.0,63.0,137.0,23.0,43.0,250.0,388.0,323.0,471.0,216.0,271.0,1154.0,1710.0,6.0,63,03630000000861,A09f,91819.0,A,A09,11.0
Kazernebuurt,BU03630907,960.0,65.0,120.0,305.0,305.0,180.0,200.0,190.0,40.0,10.0,45.0,20.0,960.0,100.0,184.0,198.0,301.0,177.0,45.0,8.0,37.0,18.0,81.0,197.0,97.0,220.0,170.0,284.0,19.0,41.0,176.0,472.0,294.0,523.0,135.0,367.0,872.0,1866.0,2.0,64,03630000000525,A09h,66064.0,A,A09,5.0
Kattenburg,BU03630901,1710.0,150.0,380.0,455.0,385.0,350.0,335.0,375.0,60.0,15.0,105.0,30.0,1717.0,254.0,478.0,254.0,381.0,350.0,105.0,15.0,59.0,30.0,166.0,334.0,255.0,360.0,349.0,500.0,31.0,53.0,266.0,460.0,389.0,697.0,436.0,629.0,1695.0,2646.0,,60,03630000000520,A09b,120718.0,A,A09,3.0
Kadijken,BU03630908,2810.0,275.0,220.0,785.0,1000.0,540.0,640.0,400.0,55.0,15.0,75.0,20.0,2810.0,360.0,357.0,559.0,998.0,536.0,74.0,15.0,52.0,20.0,239.0,635.0,353.0,505.0,564.0,762.0,32.0,59.0,571.0,810.0,1020.0,1328.0,374.0,667.0,2882.0,4072.0,2.0,65,03630023753970,A09i,218226.0,A,A09,13.0
Sarphatistrook,BU03630801,2150.0,190.0,290.0,875.0,600.0,205.0,565.0,435.0,55.0,20.0,85.0,40.0,2158.0,260.0,519.0,576.0,599.0,204.0,86.0,19.0,55.0,40.0,243.0,559.0,259.0,376.0,205.0,309.0,20.0,29.0,555.0,882.0,598.0,834.0,545.0,764.0,2162.0,3165.0,7.0,54,03630000000517,A08b,214470.0,A,A08,21.0
Coenhaven/Mercuriushaven,BU03631000,30.0,5.0,5.0,15.0,10.0,5.0,10.0,10.0,0.0,0.0,0.0,5.0,31.0,4.0,12.0,5.0,8.0,2.0,0.0,0.0,1.0,2.0,6.0,7.0,34.0,165.0,10.0,28.0,1.0,2.0,80.0,287.0,51.0,148.0,64.0,121.0,239.0,749.0,,68,03630000000526,B10a,3022440.0,B,B10,
Alfa-driehoek,BU03631001,5.0,0.0,0.0,10.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,3.0,,2.0,6.0,20.0,0.0,41.0,2.0,6.0,9.0,70.0,,69,03630000000527,B10b,406237.0,B,B10,
Wittenburg,BU03630902,2190.0,210.0,210.0,725.0,730.0,325.0,415.0,660.0,90.0,35.0,210.0,50.0,2193.0,270.0,378.0,491.0,728.0,326.0,210.0,32.0,91.0,49.0,284.0,411.0,258.0,476.0,308.0,573.0,48.0,73.0,481.0,808.0,721.0,1101.0,373.0,678.0,2141.0,3636.0,2.0,61,03630000000521,A09c,180449.0,A,A09,3.0
Petroleumhaven,BU03631002,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,,0.0,3.0,1.0,2.0,0.0,0.0,1.0,8.0,,70,03630000000528,B10c,3217146.0,B,B10,
Oostenburg,BU03630903,1725.0,210.0,170.0,625.0,530.0,205.0,320.0,585.0,125.0,20.0,155.0,50.0,1728.0,271.0,259.0,466.0,527.0,205.0,157.0,19.0,122.0,51.0,238.0,313.0,303.0,504.0,200.0,408.0,64.0,107.0,532.0,971.0,554.0,991.0,276.0,594.0,1865.0,3468.0,3.0,62,03630000000522,A09d,247527.0,A,A09,11.0
Vervoerscentrum,BU03631004,5.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,72,03630000000530,B10e,700345.0,B,B10,
de Plantage,BU03630803,1850.0,195.0,245.0,570.0,525.0,325.0,490.0,240.0,15.0,20.0,30.0,15.0,1852.0,276.0,313.0,416.0,523.0,324.0,30.0,18.0,14.0,12.0,166.0,485.0,271.0,467.0,289.0,631.0,7.0,11.0,401.0,738.0,480.0,1027.0,291.0,523.0,1732.0,3386.0,,411,03630023753968,A08d,377599.0,A,A08,4.0
Amerikahaven,BU03631005,80.0,5.0,5.0,25.0,45.0,5.0,35.0,10.0,0.0,0.0,0.0,5.0,83.0,4.0,6.0,22.0,46.0,5.0,0.0,0.0,0.0,2.0,8.0,32.0,4.0,4.0,5.0,5.0,,,22.0,22.0,46.0,46.0,6.0,6.0,83.0,83.0,,73,03630000000531,B10f,10121371.0,B,B10,
Westhaven Noord,BU03631003,25.0,5.0,5.0,15.0,10.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,27.0,1.0,7.0,8.0,6.0,5.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,6.0,,,8.0,10.0,6.0,8.0,7.0,7.0,27.0,35.0,,71,03630000000529,B10d,5696140.0,B,B10,
Afrikahaven,BU03631006,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,0.0,0.0,2.0,2.0,1.0,1.0,5.0,5.0,,74,03630000000532,B10g,5357897.0,B,B10,
Westhaven Zuid,BU03631007,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,11.0,3.0,2.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,,,3.0,3.0,2.0,4.0,2.0,2.0,11.0,13.0,,75,03630023753953,B10h,469951.0,B,B10,
