index,Buurtcode,ois_totalpop,ois_children,ois_students,ois_mobadults,ois_nmobadults,ois_elderly,ois_sur,ois_ant,ois_mar,ois_tur,ois_wester,ois_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobadults,ois_gc1_2018_mobadults,ois_gc_2018_nmobadults,ois_gc1_2018_nmobadults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_sur,ois_gc1_2018_sur,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,ois_gc1_2018_tur,Buurtnaam,Wijkcode,Stadsdeelc,Oppervlakt,BuurtID,sdnaam,gebiedcode,gebiednaam,totalpop,Children,Students,MobileAdul,NotMobileA,Elderly,l10_sur,l10_ant,l10_tur,l10_mar,l10_wester,l10_nonwes,autoch,ois_gc2_l1_totalpop,ois_gc2_l2_children,ois_gc2_l3_students,ois_gc2_l4_mobile_adults,ois_gc2_l5_not_mobile_adults,ois_gc2_l6_elderly,ois_gc2_tur,ois_gc2_mar,ois_gc2_ant,ois_gc2_sur
340,N69c,1561,221,275,310,336,419,92,15,109,100,264,254,214,300,417,454,41,51,305,374,334,399,275,593,63,78,1545,2120,55,340,63,Loenermark,N69,N,170949,3.63E+12,N Noord,N69c Loenermark,Loenermark,1561,221,275,310,336,419,92,15,100,109,264,254,727,1592.082161,223.2439644,307.8543487,311.7971758,336.8724563,412.3142162,54.5296947,41.91429261,14.64356253,63.19882614
341,N69j,986,94,112,219,184,377,72,12,55,29,127,173,101,488,378,711,28,101,227,622,185,636,116,675,46,151,1007,3132,12,341,94,Buikslotermeerplein,N69,N,234404,3.63002E+12,N Noord,N69j Buikslotermeerplein,Buikslotermeerplein,986,94,112,219,184,377,72,12,29,55,127,173,518,1156.275816,141.7916844,146.6962122,250.2788695,223.7711815,393.7378683,15.46841493,32.24484002,6.981940696,54.95929878
342,N69k,3105,769,512,708,707,409,321,51,361,200,743,460,770,836,410,578,141,157,704,838,709,850,509,566,187,222,3102,3668,99,342,120,Plan van Gool,N69,N,282578,3.63002E+12,N Noord,N69k Plan van Gool,Plan van Gool,3105,769,512,708,707,409,321,51,200,361,743,460,969,3015.367239,742.1611815,492.6830201,684.4835863,691.5576678,404.4817832,97.44936998,137.5736738,32.23452923,182.087786
343,N69l,2749,789,349,453,678,480,293,38,438,347,664,253,718,960,445,839,167,193,414,641,617,925,322,737,187,247,2516,4102,167,343,202,De Kleine Wereld,N69,N,237850,3.63002E+12,N Noord,N69l De Kleine Wereld,De Kleine Wereld,2749,789,349,453,678,480,293,38,347,438,664,253,716,2775.326884,754.2012742,418.71445,451.7779951,661.471987,489.1611776,174.8148794,171.1083089,23.85122276,198.5915149
344,N69m,2525,351,679,395,445,655,136,45,100,70,342,435,420,576,693,911,46,79,435,504,504,662,704,777,104,163,2756,3430,44,344,80,Buikslotermeer Noord,N69,N,471127,3.63002E+12,N Noord,N69m Buikslotermeer Noord,Buikslotermeer Noord,2525,351,679,395,445,655,136,45,70,100,342,435,1397,2386.068202,360.0560226,558.944641,383.9388601,437.2159652,645.9127136,33.36816178,40.09717355,31.50327667,88.25731773
345,T93j,718,150,118,137,227,86,332,35,5,22,166,62,154,270,63,168,2,8,140,324,228,366,113,214,210,385,698,1342,10,345,11,Vogeltjeswei,T93,T,72287,3.63E+12,T Zuidoost,T93j Vogeltjeswei,Vogeltjeswei,718,150,118,137,227,86,332,35,22,5,166,62,96,702.6778262,154.6683563,116.2034263,150.1309439,216.1733681,65.50173166,9.699791883,2.006914655,25.19743704,207.2259304
346,N70e,326,68,27,54,115,62,4,0,0,1,14,63,59,140,51,85,,,51,121,112,170,27,48,2,6,300,564,2,346,2,Buiksloterbreek,N70,N,99708,3.63E+12,N Noord,N70e Buiksloterbreek,Buiksloterbreek,326,68,27,54,115,62,4,0,1,0,14,63,244,293.694823,65.97402734,24.16561781,54.84018637,99.7749273,48.94006422,1.328887172,,0.082613616,2.481091496
347,N70f,373,119,56,104,65,29,11,0,57,35,41,46,119,170,25,68,16,28,90,151,57,134,37,89,6,16,328,612,13,347,26,Marjoleinterrein,N70,N,34717,3.63E+12,N Noord,N70f Marjoleinterrein,Marjoleinterrein,373,119,56,104,65,29,11,0,35,57,41,46,183,343.6272041,112.3864671,46.91041597,90.16860805,63.82427972,30.33743329,14.89149097,18.16519989,,6.726268168
348,N71c,953,246,113,315,242,37,20,10,9,4,64,166,258,330,42,91,3,5,315,446,254,352,110,197,11,19,979,1416,3,348,3,Papaverweg e.o.,N71,N,695329,3.63E+12,N Noord,N71c Papaverweg e.o.,Papaverweg e.o.,953,246,113,315,242,37,20,10,4,9,64,166,680,983.0163786,255.5361148,111.8973927,318.0944127,253.7277352,43.76072323,2.958516259,3.026730295,2.066825736,10.41186935
349,N71e,,,,,,,,,,,,,0,124,1,55,,11,0,204,0,108,0,383,,14,1,874,,349,7,Cornelis Douwesterrein,N71,N,1389668,3.63002E+12,N Noord,N71e Cornelis Douwesterrein,Cornelis Douwesterrein,,,,,,,,,,,,,,164.8411468,14.22270491,96.29699443,39.47371019,10.72869213,4.11904512,1.360588532,0.580741958,2.08373523,2.415346444
