index,Buurtcode,ois_totalpop,ois_children,ois_students,ois_mobadults,ois_nmobadults,ois_elderly,ois_sur,ois_ant,ois_mar,ois_tur,ois_wester,ois_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobadults,ois_gc1_2018_mobadults,ois_gc_2018_nmobadults,ois_gc1_2018_nmobadults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_sur,ois_gc1_2018_sur,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,ois_gc1_2018_tur,Buurtnaam,Wijkcode,Stadsdeelc,Oppervlakt,BuurtID,sdnaam,gebiedcode,gebiednaam,totalpop,Children,Students,MobileAdul,NotMobileA,Elderly,l10_sur,l10_ant,l10_tur,l10_mar,l10_wester,l10_nonwes,autoch,ois_gc2_l1_totalpop,ois_gc2_l2_children,ois_gc2_l3_students,ois_gc2_l4_mobile_adults,ois_gc2_l5_not_mobile_adults,ois_gc2_l6_elderly,ois_gc2_tur,ois_gc2_mar,ois_gc2_ant,ois_gc2_sur
382,T94l,333,99,59,120,54,1,109,18,5,17,74,30,101,169,17,252,1,2,120,163,64,190,57,97,60,184,359,871,7,381,9,Gooise Kant,T94,T,154120,3.63E+12,T Zuidoost,T94l Gooise Kant,Gooise Kant,333,99,59,120,54,1,109,18,17,5,74,30,80,313.8886111,87.4419221,51.74337122,102.2277518,56.54042979,15.9351362,6.077236722,0.979093412,8.595759744,51.35377301
383,T94m,1778,459,193,414,605,107,627,128,35,7,738,82,436,559,108,147,19,23,395,498,579,708,183,251,450,580,1701,2163,9,382,18,G-buurt Noord,T94,T,80653,3.63E+12,T Zuidoost,T94m G-buurt Noord,G-buurt Noord,1778,459,193,414,605,107,627,128,7,35,738,82,161,1636.313104,419.8210533,180.3718513,377.5796539,559.590085,98.95046077,8.761865919,17.68993891,106.9704598,434.3992515
384,T94n,3151,801,694,658,785,213,625,140,82,20,1272,423,870,1217,227,315,35,46,788,1086,856,1263,746,1011,527,832,3487,4892,9,383,11,Bijlmermuseum Zuid,T94,T,257594,3.63E+12,T Zuidoost,T94n Bijlmermuseum Zuid,Bijlmermuseum Zuid,3151,801,694,658,785,213,625,140,20,82,1272,423,589,3258.647827,816.3682758,705.8991488,707.776468,820.6726363,207.9312987,9.303507751,32.68249116,124.1817763,495.2936752
385,T96a,2916,896,342,508,696,474,1129,183,76,24,702,187,926,1075,476,530,35,35,522,618,723,851,356,415,829,956,3003,3489,12,384,16,Holendrecht West,T96,T,350298,3.63E+12,T Zuidoost,T96a Holendrecht Noordwest,Holendrecht Noordwest,2916,896,342,508,696,474,1129,183,24,76,702,187,615,3028.903652,937.8971315,358.6126389,529.4615565,728.6110905,474.3212345,12.36950937,34.95243132,140.4500115,832.869963
386,SAB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bedrijventerrein Van Houten,SAB,S,531909,3.63098E+12,,,,,,,,,,,,,,,,,0.113875416,0.028468854,0,0.028468854,0.042703281,0.014234427,,,,
387,SAB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zuid I Weesp,SAB,S,98893,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
388,SAB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zuid II Weesp,SAB,S,152381,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
389,T96c,2511,451,299,436,658,667,615,77,38,16,328,323,451,542,667,697,11,11,436,512,658,750,299,353,396,476,2511,2854,8,385,10,Holendrecht Oost,T96,T,665644,3.63E+12,T Zuidoost,T96c Holendrecht Oost,Holendrecht Oost,2511,451,299,436,658,667,615,77,16,38,328,323,1114,2490.124169,448.1054627,296.2025753,432.9237462,650.8163416,662.0760436,7.836360329,11,47.81404039,394.4130882
390,T96d,2037,428,286,517,615,191,649,84,59,24,464,238,430,510,191,241,27,31,522,592,616,703,288,355,417,473,2047,2401,8,386,13,Gaasperdam Noord,T96,T,253110,3.63E+12,T Zuidoost,T96d Gaasperdam Noord,Gaasperdam Noord,2037,428,286,517,615,191,649,84,24,59,464,238,519,2042.462022,431.3707875,288.2467072,519.4631022,610.4601129,192.9213119,8.167181126,27.09301953,63.86764661,417.2237853
391,T96e,1455,254,220,314,417,250,411,58,18,5,355,189,261,336,254,303,14,14,321,408,415,551,206,280,295,360,1457,1878,2,387,2,Gaasperdam Zuid,T96,T,192494,3.63E+12,T Zuidoost,T96e Gaasperdam Zuid,Gaasperdam Zuid,1455,254,220,314,417,250,411,58,5,18,355,189,419,1449.181084,255.483624,213.8983283,313.4646109,419.1259703,247.20855,2,10.89965306,42.98042142,292.8474976
392,T96f,2464,533,346,518,658,409,835,100,70,25,519,231,515,665,393,467,25,33,495,653,649,811,345,419,555,677,2397,3015,12,388,15,Reigersbos Midden,T96,T,251118,3.63E+12,T Zuidoost,T96f Reigersbos Midden,Reigersbos Midden,2464,533,346,518,658,409,835,100,25,70,519,231,684,2458.108005,532.858954,345.3970892,514.7775843,661.6310748,403.4433024,11.93899855,26.42578782,62.63539745,564.9192371
393,SAA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrum Weesp,SAA,S,422559,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
394,T97a,3013,697,479,634,819,384,902,163,71,18,747,339,697,748,384,413,40,43,634,691,819,896,479,513,603,646,3013,3261,6,389,7,Gein Noordwest,T97,T,319354,3.63E+12,T Zuidoost,T97a Gein Noordwest,Gein Noordwest,3013,697,479,634,819,384,902,163,18,71,747,339,773,2996.763175,690.9452752,475.5660212,629.8070036,816.3684222,384.0764533,6.080782131,39.75645664,121.8084534,595.4139711
395,T97b,1688,431,244,425,484,104,514,79,41,11,580,161,445,556,111,167,18,26,443,552,517,660,278,325,378,468,1794,2260,4,390,4,Gein Zuidwest,T97,T,180921,3.63E+12,T Zuidoost,T97b Gein Zuidwest,Gein Zuidwest,1688,431,244,425,484,104,514,79,11,41,580,161,302,1803.844657,452.8659844,264.4659051,451.6182286,516.9598176,117.9347213,4,18.69006957,47.87478314,381.1521529
396,SAB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Klomp,SAB,S,104176,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
397,T98b,120,46,5,28,33,8,5,4,0,0,0,12,46,82,9,46,,1,28,56,34,74,5,23,5,8,122,281,,391,,Landelijk gebied Driemond,T98,T,1672664,3.63E+12,T Zuidoost,T98b Landelijk Gebied Driemond,Landelijk Gebied Driemond,120,46,5,28,33,8,5,4,0,0,0,12,99,149.0371125,52.08343884,8.365026714,33.33421573,39.40033378,15.85409741,,0.286133008,0.978252704,5.394488227
398,SAC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dichtersbuurt Weesp,SAC,S,260055,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
399,SAC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schildersbuurt Weesp,SAC,S,117949,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
400,SAD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hogewey Noord,SAD,S,176196,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
401,SAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hogewey Midden,SAD,S,214598,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
402,SAD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hogewey Zuid,SAD,S,280058,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
403,SAH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bedrijventerrein Nijverheidslaan,SAH,S,213820,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
404,SAH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weespersluis,SAH,S,3352309,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
405,SAD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bedrijventerrein Noord Weesp,SAD,S,903650,3.63098E+12,,,,,,,,,,,,,,,,,0.222741057,0.055685264,0,0.055685264,0.083527896,0.027842632,,,,
406,SAE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aetsveld Noord,SAE,S,244078,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
407,SAE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aetsveld Zuid,SAE,S,252957,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
408,SAF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aetsveldsepolder,SAF,S,5511997,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
409,SAG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oostelijke Vechtoever,SAG,S,10946904,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
410,SAH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leeuwenveld,SAH,S,278926,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
411,A08d,1852,276,313,416,523,324,30,18,14,12,166,485,271,467,289,631,7,11,401,738,480,1027,291,523,13,28,1732,3386,13,392,19,de Plantage,A08,A,377599,3.63002E+12,A Centrum,A08d de Plantage,de Plantage,1852,276,313,416,523,324,30,18,12,14,166,485,1127,1974.381604,295.3333921,314.8664136,447.1600174,570.0720367,346.9497443,13.05694533,7.214201051,13.31370552,14.98162729
412,E37f,4280,726,894,1379,931,350,213,56,695,278,583,726,669,996,317,459,327,431,1247,1972,871,1236,808,1335,135,175,3912,5998,146,393,232,Gibraltarbuurt,E37,E,200017,3.63002E+12,E West,E37f Gibraltarbuurt,Gibraltarbuurt,4280,726,894,1379,931,350,213,56,278,695,583,726,1729,4135.820468,700.9978512,859.4715701,1352.881875,899.8875415,322.5816303,160.5546943,328.4113131,29.23720743,137.1078297
413,A00a,1035,63,299,352,250,71,25,8,3,11,132,334,58,108,71,131,2,2,308,494,251,400,299,537,11,20,987,1670,8,394,9,Kop Zeedijk,A00,A,80487,3.63E+12,A Centrum,A00a Kop Zeedijk,Kop Zeedijk,1035,63,299,352,250,71,25,8,11,3,132,334,522,1027.636767,60.72071581,312.076135,317.2879258,260.090905,77.4610857,7.223811115,1.674041212,4.63622543,11.96505113
414,A00c,1573,128,509,443,326,167,32,18,17,14,213,513,103,218,140,290,9,14,398,844,285,616,468,907,18,34,1394,2875,4,395,20,Burgwallen Oost,A00,A,72477,3.63E+12,A Centrum,A00c Burgwallen Oost,Burgwallen Oost,1573,128,509,443,326,167,32,18,14,17,213,513,766,1397.227934,109.5435813,440.1615202,406.0315911,296.8356336,144.6556073,7.567376394,8.885966149,7.572942076,15.43326944
415,A02b,1810,208,485,387,457,273,12,12,4,17,194,638,198,374,274,548,1,6,375,814,450,898,502,813,5,14,1799,3447,11,396,21,Leliegracht e.o.,A02,A,173442,3.63E+12,A Centrum,A02b Leliegracht e.o.,Leliegracht e.o.,1810,208,485,387,457,273,12,12,17,4,194,638,933,1937.950172,221.7922548,501.6986054,419.1144461,493.5297667,301.8150988,11.71092831,2.295300404,9.881490335,5.096854234
416,A05a,1920,354,173,460,569,364,143,18,49,27,237,416,348,471,381,507,23,36,463,621,574,798,172,297,99,119,1938,2694,22,397,25,Westerdokseiland,A05,A,337777,3.63E+12,A Centrum,A05a Westerdokseiland,Westerdokseiland,1920,354,173,460,569,364,143,18,27,49,237,416,1030,1934.407408,350.2541255,169.7765309,450.2974027,583.0019418,381.0774072,21.24405923,22.75675712,13.01070097,100.2981696
417,A06i,239,8,114,70,32,15,2,3,4,6,24,73,35,146,44,149,10,19,123,400,106,294,154,397,7,21,462,1386,6,398,16,Groenmarktkadebuurt,A06,A,49461,3.63E+12,A Centrum,A06i Groenmarktkadebuurt,Groenmarktkadebuurt,239,8,114,70,32,15,2,3,6,4,24,73,127,381.0308406,31.33730265,128.329686,100.0131144,82.42696935,38.92376815,4.585222381,5.520721453,1.29598893,5.579843091
418,A06j,686,37,181,133,137,198,15,7,14,7,59,190,38,199,177,359,6,28,142,482,138,431,189,433,8,19,684,1904,7,399,18,Marnixbuurt Zuid,A06,A,51230,3.63E+12,A Centrum,A06j Marnixbuurt Zuid,Marnixbuurt Zuid,686,37,181,133,137,198,15,7,7,14,59,190,394,724.0947349,44.41626899,201.1351383,157.4280847,156.0687482,165.0464947,7.730736593,6.106079728,6.913022618,7.844732002
419,K47g,1387,159,101,206,304,617,30,6,1,3,62,258,158,310,620,771,1,5,224,578,315,516,115,336,14,23,1432,2511,,400,8,Harmoniehofbuurt,K47,K,113893,3.63E+12,K Zuid,K47g Harmoniehofbuurt,Harmoniehofbuurt,1387,159,101,206,304,617,30,6,3,1,62,258,1027,1326.945975,151.4020266,105.6040159,215.6623943,290.9559514,563.3215869,0.501900834,0.723921147,5.230102079,11.80850887
420,A09a,84,13,7,24,31,9,0,0,0,0,15,10,39,155,35,182,1,11,40,151,55,237,69,261,10,41,238,986,4,401,11,Marine-Etablissement,A09,A,271578,3.63E+12,A Centrum,A09a Marine-Etablissement,Marine-Etablissement,84,13,7,24,31,9,0,0,0,0,15,10,59,242.3721834,40.10098993,78.77661405,37.83312558,53.84892596,31.81252784,3.557931252,0.601215392,0.621375834,7.387001218
421,A09e,2387,353,521,765,520,228,169,26,153,27,318,517,332,610,228,343,80,130,701,1031,494,880,493,784,108,155,2248,3648,16,402,37,Czaar Peterbuurt,A09,A,107699,3.63E+12,A Centrum,A09e Czaar Peterbuurt,Czaar Peterbuurt,2387,353,521,765,520,228,169,26,27,153,318,517,1177,2113.440953,307.0490233,469.1091819,667.1222855,467.7485977,202.4118649,15.41219302,70.7316732,10.93940157,96.91907205
422,E12a,1737,389,248,627,393,80,38,15,26,23,132,366,396,662,93,227,29,122,625,1140,411,862,238,528,28,121,1763,3419,12,403,36,Houthavens West,E12,E,663450,3.63E+12,E West,E12a Houthavens West,Houthavens West,1737,389,248,627,393,80,38,15,23,26,132,366,1137,1862.034751,404.03485,266.4151086,645.9482062,444.9864622,100.650124,13.34884361,39.89728937,9.508055382,38.82853004
423,E13b,2756,428,461,644,888,335,234,46,255,100,364,456,389,661,312,470,113,181,571,1092,786,1241,397,735,146,216,2455,4199,54,404,70,Spaarndammerbuurt Noordoost,E13,E,111776,3.63E+12,E West,E13b Spaarndammerbuurt Noordoost,Spaarndammerbuurt Noordoost,2756,428,461,644,888,335,234,46,100,255,364,456,1301,2579.724351,404.2866031,428.8429984,637.1187856,800.4559614,309.020002,54.30591199,111.3715945,29.24222525,143.547195
424,E13e,1299,211,255,396,325,112,92,18,90,24,164,230,189,456,113,249,54,117,363,833,299,670,264,435,51,135,1228,2643,24,405,36,Spaarndammerbuurt Midden,E13,E,57345,3.63E+12,E West,E13e Spaarndammerbuurt Midden,Spaarndammerbuurt Midden,1299,211,255,396,325,112,92,18,24,90,164,230,681,1146.114576,182.865937,227.8099894,332.7487364,293.785267,108.9046463,19.90399544,53.94598432,12.98290095,50.02346263
425,E13f,1955,322,283,652,511,187,180,23,202,48,239,330,321,405,184,238,97,117,655,809,520,647,285,405,113,139,1965,2504,28,406,36,Spaarndammerbuurt Noordwest,E13,E,119137,3.63E+12,E West,E13f Spaarndammerbuurt Noordwest,Spaarndammerbuurt Noordwest,1955,322,283,652,511,187,180,23,48,202,239,330,933,1800.418291,293.5611236,270.9799063,588.8038664,473.1226824,173.9507125,27.64931802,89.97587198,12.7998582,105.5977336
426,E13h,9,1,1,3,2,2,0,0,0,0,2,2,15,155,12,192,4,25,52,344,41,279,27,197,2,52,147,1167,,407,13,Overbraker Binnenpolder,E13,E,631217,3.63E+12,E West,E13h Overbraker Binnenpolder,Overbraker Binnenpolder,9,1,1,3,2,2,0,0,0,0,2,2,5,241.2617798,32.43205503,38.21389215,78.71758873,60.28872022,31.60952368,1.130449876,4.743228028,0.455010884,8.589440455
427,E15c,71,16,6,14,30,5,0,0,0,0,5,9,115,153,50,57,28,29,96,147,170,226,55,86,17,18,486,669,1,408,4,Bedrijvencentrum Westerkwartier,E15,E,151780,3.63E+12,E West,E15c Bedrijvencentrum Westerkwartier,Bedrijvencentrum Westerkwartier,71,16,6,14,30,5,0,0,0,0,5,9,57,390.5680995,90.13149124,48.54193036,82.92819014,133.443081,35.52340675,1.804342527,18.34768773,2.492369911,13.16762045
428,E36a,452,49,116,218,49,20,6,1,3,4,30,113,49,106,20,67,1,48,218,298,49,127,114,199,3,19,450,797,3,409,19,Woon- en Groengebied Sloterdijk,E36,E,532101,3.63E+12,E West,E36a Woon- en groengebied Sloterdijk,Woon- en groengebied Sloterdijk,452,49,116,218,49,20,6,1,4,3,30,113,295,574.3446182,71.50052619,141.4354645,244.5093537,78.36056994,38.53870381,9.060294097,20.62507312,0.36891691,9.489099424
429,E39d,3760,1162,583,955,806,254,187,29,1523,853,428,286,1180,1278,239,360,731,820,962,1082,805,947,592,764,124,140,3778,4431,422,410,509,Kolenkitbuurt Noord,E39,E,298884,3.63E+12,E West,E39d Kolenkitbuurt Noord,Kolenkitbuurt Noord,3760,1162,583,955,806,254,187,29,853,1523,428,286,454,3709.650483,1153.606414,579.5996254,936.5270618,796.9164561,243.0009259,416.3818633,725.0240491,23.96992562,123.0489316
430,E22a,940,163,180,219,247,131,21,6,8,8,99,315,163,251,134,212,6,11,240,441,249,415,195,376,15,19,981,1695,8,411,10,Vondelparkbuurt Oost,E22,E,130129,3.63E+12,E West,E22a Vondelparkbuurt Oost,Vondelparkbuurt Oost,940,163,180,219,247,131,21,6,8,8,99,315,483,961.4655438,158.4499396,191.1525949,235.3518386,246.8315588,129.6796119,8.080966221,5.927808254,1.953409997,13.40099112
431,E41d,1928,295,423,608,583,19,404,109,366,91,507,155,319,430,54,150,174,221,678,870,627,780,452,594,295,331,2130,2824,52,412,89,Mercatorpark,E41,E,98154,3.63E+12,E West,E41d Mercatorpark,Mercatorpark,1928,295,423,608,583,19,404,109,91,366,507,155,296,2124.119439,324.9132402,458.7923837,665.0178548,625.3709498,50.02501033,53.77657257,163.2031908,80.05951442,296.1500085
432,F11a,27,3,6,14,4,0,0,0,0,0,9,16,3,3,0,0,,,14,15,4,4,6,8,,,27,30,,413,,Sloterdijk II,F11,F,462008,3.63E+12,F Nieuw-West,F11a Sloterdijk II,Sloterdijk II,27,3,6,14,4,0,0,0,0,0,9,16,2,26.86912921,3,6.665064,13.95580723,3.248257981,0,,,,
433,F11d,80,24,25,19,9,3,13,4,8,3,13,17,24,24,3,5,3,3,19,19,9,10,25,25,8,8,80,83,1,414,1,Sloterdijk III West,F11,F,2114379,3.63E+12,F Nieuw-West,F11d Sloterdijk III West,Sloterdijk III West,80,24,25,19,9,3,13,4,3,8,13,17,22,80.10872097,24,25,19,9.036240322,3.072480644,1,3,2,8
434,F77e,50,11,22,14,3,0,2,0,0,19,2,19,51,209,4,123,,37,46,231,28,253,35,133,2,16,164,949,8,415,45,Sloterpark,F77,F,1061666,3.63E+12,F Nieuw-West,F77e Sloterpark,Sloterpark,50,11,22,14,3,0,2,0,19,0,2,19,8,236.4463759,59.4472859,43.63804882,61.37728462,54.21219627,17.77156029,10.67158568,8.674373779,1.093836474,4.739133124
435,K46a,1378,397,105,275,430,171,15,4,6,10,98,495,385,585,156,304,2,4,259,442,401,673,124,243,5,10,1325,2247,8,416,11,Valeriusbuurt Oost,K46,K,120611,3.63E+12,K Zuid,K46a Valeriusbuurt Oost,Valeriusbuurt Oost,1378,397,105,275,430,171,15,4,10,6,98,495,750,1350.266536,382.1516927,125.8768261,267.2126528,415.456204,159.5691605,7.305928163,2.026014798,4.377785617,5.616290194
436,K46b,2562,612,323,602,676,349,47,12,41,46,221,768,592,837,353,536,27,49,555,986,648,1034,308,629,29,64,2456,4022,26,417,40,Valeriusbuurt West,K46,K,141017,3.63E+12,K Zuid,K46b Valeriusbuurt West,Valeriusbuurt West,2562,612,323,602,676,349,47,12,46,41,221,768,1427,2591.644309,602.9909577,341.3501316,598.7649829,685.0674141,363.4708222,22.65672426,25.80388678,8.386766988,34.58975486
437,F79a,30,3,2,3,12,10,0,0,0,0,9,2,34,124,33,113,3,16,22,94,51,211,24,80,10,23,164,622,5,418,20,Osdorper Binnenpolder,F79,F,2100498,3.63E+12,F Nieuw-West,F79a Osdorper Binnenpolder,Osdorper Binnenpolder,30,3,2,3,12,10,0,0,0,0,9,2,19,179.2773483,36.73077522,23.05896943,24.14988499,59.63437553,35.70334317,3.986934236,3.460942166,0.1770564,8.673434517
438,F80b,793,167,81,134,261,150,23,2,21,27,37,106,180,398,149,528,21,124,144,299,271,471,94,184,21,70,838,1880,17,419,103,Osdorper Bovenpolder,F80,F,2603017,3.63E+12,F Nieuw-West,F80b Osdorper Bovenpolder,Osdorper Bovenpolder,793,167,81,134,261,150,23,2,27,21,37,106,577,885.6474135,198.7593861,102.1392606,159.4365635,277.2910521,148.0211511,33.13770646,34.33392414,2.880446228,23.68416857
439,F84b,4592,1060,640,769,1577,546,444,54,454,450,567,572,1078,1207,554,714,182,236,792,912,1604,1834,654,740,238,277,4682,5407,193,420,225,De Aker West,F84,F,574253,3.63E+12,F Nieuw-West,F84b De Aker West,De Aker West,4592,1060,640,769,1577,546,444,54,450,454,567,572,2051,4598.459694,1060.095837,642.1411211,771.9546932,1584.220537,540.0475059,188.4391771,184.6229279,28.55676661,233.3796355
440,F88a,81,14,27,28,12,0,2,0,0,1,36,37,14,71,0,22,,2,28,62,12,94,27,104,,7,81,353,1,421,4,Riekerpolder,F88,F,645655,3.63E+12,F Nieuw-West,F88a Riekerpolder,Riekerpolder,81,14,27,28,12,0,2,0,1,0,36,37,5,133.2150944,25.37791172,40.41881023,33.50594894,29.86795362,4.044469906,1.933494408,0.53766973,0.256730129,1.366402727
441,F88d,255,53,37,34,77,54,15,0,0,6,32,41,55,158,55,82,,3,36,102,79,219,40,72,7,11,265,633,4,422,11,Sloterweg e.o.,F88,F,862496,3.63E+12,F Nieuw-West,F88d Sloterweg e.o.,Sloterweg e.o.,255,53,37,34,77,54,15,0,6,0,32,41,161,239.477113,50.61724483,35.21317385,32.97235953,70.51052892,50.16380589,3.492266079,0.141119425,0.156529919,5.680137248
442,K47e,796,189,54,95,241,217,11,1,5,1,39,211,200,413,250,415,5,6,109,281,255,504,70,197,6,11,884,1810,1,423,2,Banpleinbuurt,K47,K,112339,3.63E+12,K Zuid,K47e Banpleinbuurt,Banpleinbuurt,796,189,54,95,241,217,11,1,1,5,39,211,528,879.1566007,199.9939308,71.14013999,116.9810804,252.6155528,238.4258967,1.012948402,4.795637792,0.118233055,5.455668814
443,K47f,2059,408,336,472,479,364,23,13,5,19,163,627,388,600,312,631,3,9,462,776,469,756,306,509,9,23,1937,3272,15,424,22,Hondecoeterbuurt,K47,K,126099,3.63E+12,K Zuid,K47f Hondecoeterbuurt,Hondecoeterbuurt,2059,408,336,472,479,364,23,13,19,5,163,627,1209,2049.949732,409.0615466,320.8664279,471.5056445,488.3533825,360.1627301,15.22856296,3.582548324,5.48774395,11.03283737
444,F87e,579,23,548,8,0,0,18,3,15,2,316,38,23,23,0,0,2,2,8,8,0,1,548,548,5,5,579,580,,425,,Riekerhaven,F87,F,416478,3.63E+12,F Nieuw-West,F87e Riekerhaven,Riekerhaven,579,23,548,8,0,0,18,3,2,15,316,38,187,571.458658,22.7025564,540.8613536,7.8512782,0.043469747,0,,2,1.8512782,5
445,K44a,1540,260,330,428,323,199,22,12,15,14,103,345,200,431,153,351,1,17,369,744,235,607,276,569,12,34,1233,2702,7,426,19,Surinamepleinbuurt,K44,K,89393,3.63E+12,K Zuid,K44a Surinamepleinbuurt,Surinamepleinbuurt,1540,260,330,428,323,199,22,12,14,15,103,345,1029,1467.190526,236.9314626,321.2666421,427.596734,291.9325653,189.4631223,8.593823939,3.394018488,3.513685597,15.22388121
446,K44c,2547,342,605,938,477,185,65,20,45,27,234,622,319,604,188,316,24,66,832,1406,474,845,537,1038,26,67,2350,4209,21,427,55,Aalsmeerwegbuurt West,K44,K,105180,3.63E+12,K Zuid,K44c Aalsmeerwegbuurt West,Aalsmeerwegbuurt West,2547,342,605,938,477,185,65,20,27,45,234,622,1534,2490.619227,342.5030308,563.5160256,887.8116958,504.8496593,191.9388152,24.6431838,22.30833528,6.236202721,29.32486403
447,K44d,2155,276,487,655,531,206,65,13,65,32,161,506,293,511,227,362,23,73,714,1177,527,858,545,938,35,54,2306,3846,21,428,40,Aalsmeerwegbuurt Oost,K44,K,118233,3.63E+12,K Zuid,K44d Aalsmeerwegbuurt Oost,Aalsmeerwegbuurt Oost,2155,276,487,655,531,206,65,13,32,65,161,506,1313,2102.639497,266.0927428,517.7257614,654.9916491,464.8110913,199.018252,17.55393797,27.05020007,11.96663333,32.47159402
448,K44e,1688,291,334,501,385,177,34,13,25,15,120,392,257,464,138,284,9,30,424,830,333,744,241,535,12,53,1393,2857,8,429,21,Legmeerpleinbuurt,K44,K,75553,3.63E+12,K Zuid,K44e Legmeerpleinbuurt,Legmeerpleinbuurt,1688,291,334,501,385,177,34,13,15,25,120,392,1089,1602.465311,277.9801127,286.0048158,489.1478098,393.1333352,156.1992377,11.82631203,12.91383349,4.539819753,22.04485356
449,K44f,266,36,127,26,59,18,0,0,0,2,24,126,36,130,18,85,4,15,29,218,56,246,128,288,,15,267,967,2,430,12,Bedrijventerrein Schinkel,K44,K,380252,3.63E+12,K Zuid,K44f Bedrijventerrein Schinkel,Bedrijventerrein Schinkel,266,36,127,26,59,18,0,0,2,0,24,126,114,400.4491327,52.61931212,162.8840894,64.90044959,89.64798707,30.3972945,5.230316823,6.203453122,0.546406945,3.598339962
450,K45a,2426,310,569,820,535,192,60,16,53,35,209,645,325,588,208,361,24,36,850,1365,574,917,580,926,43,56,2537,4157,38,431,44,Schinkelbuurt Noord,K45,K,108053,3.63E+12,K Zuid,K45a Schinkelbuurt Noord,Schinkelbuurt Noord,2426,310,569,820,535,192,60,16,35,53,209,645,1408,2405.741726,326.661522,536.6446646,798.9104673,544.1774859,199.3475863,32.59626149,20.45780062,7.652900433,36.86609727
451,K45b,1508,207,313,423,356,209,119,11,52,41,168,320,178,519,163,412,22,53,342,994,294,800,242,671,56,98,1219,3396,13,432,56,Schinkelbuurt Zuid,K45,K,238200,3.63E+12,K Zuid,K45b Schinkelbuurt Zuid,Schinkelbuurt Zuid,1508,207,313,423,356,209,119,11,41,52,168,320,797,1458.031727,201.1880245,300.372217,415.690536,348.7843582,191.9965911,20.33559231,23.94213056,10.14776646,58.77857226
452,K46c,1559,334,239,330,442,214,21,5,8,8,116,460,366,592,241,358,4,9,437,718,498,802,304,514,9,17,1846,2984,6,433,17,Willemsparkbuurt Noord,K46,K,189244,3.63E+12,K Zuid,K46c Willemsparkbuurt Noord,Willemsparkbuurt Noord,1559,334,239,330,442,214,21,5,8,8,116,460,941,1570.173849,322.7437373,253.1589754,357.4835438,431.1570489,205.6305434,6.718856631,4.43433899,3.29930733,7.576024267
453,K46d,,,,,,,,,,,,,70,349,54,295,1,5,149,510,111,487,74,320,7,21,458,1961,1,434,8,Vondelpark West,K46,K,247568,3.63E+12,K Zuid,K46d Vondelpark West,Vondelpark West,,,,,,,,,,,,,,430.5029623,69.9014806,67.30257559,116.0191327,111.3354009,65.94437251,1.245599444,1.140123388,3.26890133,6.50226331
